Code,名稱,網址,評分,餐點類型
d5f7,嘉義火雞肉飯,/restaurant/d5f7/jia-yi-huo-ji-rou-fan-d5f7,4.7 stars out of 5,台式
excs,楊桃伯 (彰化東民店),/restaurant/excs/yang-tao-bo-zhang-hua-dong-min-dian,4.7 stars out of 5,飲料
r38p,飽米便當 (彰化過溝店),/restaurant/r38p/bao-mi-bian-dang-zhang-hua-guo-gou-dian,4.8 stars out of 5,台式
o1hi,大順當歸鴨肉飯,/restaurant/o1hi/da-shun-dang-gui-ya-rou-fan,4.7 stars out of 5,台式
txva,Jayko職人手作飯糰,/restaurant/txva/jaykozhi-ren-shou-zuo-fan-tuan,4.7 stars out of 5,小吃
d5ek,艾糖的店-花蓮炸蛋蔥油餅,/restaurant/d5ek/ai-tang-de-dian-hua-lian-zha-dan-cong-you-bing,4.9 stars out of 5,小吃
m0dl,港式鮮肉包 (彰化自強店),/restaurant/m0dl/gang-shi-xian-rou-bao-zhang-hua-zi-qiang-dian,3.4 stars out of 5,港式
an69,員湘園鴨肉飯 (彰化彰美店),/restaurant/an69/yuan-xiang-yuan-ya-rou-fan-zhang-hua-zhang-mei-dian,5 stars out of 5,台式
xo9z,林品抓餅蛋餅早午餐,/restaurant/xo9z/lin-pin-zhua-bing-dan-bing-zao-wu-can,4.7 stars out of 5,早餐
xmsz,南臺灣土魠魚羹 (彰化中正店),/restaurant/xmsz/nan-tai-wan-tu-tuo-yu-geng-zhang-hua-zhong-zheng-dian,4.7 stars out of 5,台式
z8sr,啾C鮮果汁,/restaurant/z8sr/jiu-cxian-guo-zhi,4.6 stars out of 5,飲料
d9xk,超神鮮10元壽司,/restaurant/d9xk/chao-shen-xian-10yuan-shou-si,4.6 stars out of 5,日式
e1oi,龍富專業牛排,/restaurant/e1oi/long-fu-zhuan-ye-niu-pai,4.7 stars out of 5,台式
a9ly,禾籽八斗鴨肉油飯 (彰化自強店),/restaurant/a9ly/he-zi-ba-dou-ya-rou-you-fan-zhang-hua-zi-qiang-dian,4.7 stars out of 5,台式
b6cu,永河傳統豆花湯圓 (彰化永安店),/restaurant/b6cu/yong-he-chuan-tong-dou-hua-tang-yuan-zhang-hua-yong-an-dian,4.9 stars out of 5,甜點
z3yu,sokoso手勾手咖啡館,/restaurant/z3yu/sokososhou-gou-shou-ka-pei-guan,4.8 stars out of 5,咖啡
cwxc,日日早午餐,/restaurant/cwxc/ri-ri-zao-wu-can-cwxc,4.8 stars out of 5,早餐
swsr,佳香味燒烤,/restaurant/swsr/jia-xiang-wei-shao-kao,4 stars out of 5,台式
p7nr,員林南門四神湯 (彰化中正店),/restaurant/p7nr/yuan-lin-nan-men-si-shen-tang-zhang-hua-zhong-zheng-dian,4.8 stars out of 5,台式
b7vw,黃橙子早午餐,/restaurant/b7vw/huang-cheng-zi-zao-wu-can,4.8 stars out of 5,早餐
j4fk,默默咖啡 (彰化華山店),/restaurant/j4fk/mo-mo-ka-pei-zhang-hua-hua-shan-dian,4.8 stars out of 5,咖啡
z6tt,捲捲麵,/restaurant/z6tt/juan-juan-mian,4.8 stars out of 5,歐美
whk9,謝記燒烤,/restaurant/whk9/xie-ji-shao-kao,4.7 stars out of 5,小吃
aq2c,築間幸福鍋物 (彰化華山店),/restaurant/aq2c/zhu-jian-xing-fu-guo-wu-zhang-hua-hua-shan-dian,4.8 stars out of 5,台式
ak80,肉殿堂 (彰化中山店),/restaurant/ak80/rou-dian-tang-zhang-hua-zhong-shan-dian,4.7 stars out of 5,台式
z0ew,蟹將軍炸物專賣店 (彰化曉陽店),/restaurant/z0ew/xie-jiang-jun-zha-wu-zhuan-mai-dian-zhang-hua-xiao-yang-dian,4.8 stars out of 5,小吃
z3tg,南北第七家 (彰化南郭店),/restaurant/z3tg/nan-bei-di-qi-jia-zhang-hua-nan-guo-dian,4.7 stars out of 5,飲料
z8ve,燒等幾勒碳烤,/restaurant/z8ve/shao-deng-ji-le-tan-kao,4.6 stars out of 5,小吃
z8ae,高記油飯、涼麵、現煮雞湯,/restaurant/z8ae/gao-ji-you-fan-liang-mian-xian-zhu-ji-tang,4.7 stars out of 5,台式
a2vw,青秀香菇肉粥 (彰化曉陽店),/restaurant/a2vw/qing-xiu-xiang-gu-rou-zhou-zhang-hua-xiao-yang-dian,4.7 stars out of 5,台式
tub8,唐山仙青草茶飲 (彰化永安店),/restaurant/tub8/tang-shan-xian-qing-cao-cha-yin-zhang-hua-yong-an-dian,4.9 stars out of 5,飲料
